show_id,type,title,release_year,rating,duration,listed_in, description 
80182482,Movie,Krish Trish and Baltiboy: Comics of India,2012,TV-Y7,61 min,Children & Family Movies, In three comic-strip-style tales  a boy tries to sell wisdom  a demon is released from captivity  and a king assigns impossible tasks to his minister. 
80182597,Movie,Krish Trish and Baltiboy: Oversmartness Never Pays,2017,TV-Y7,65 min,Children & Family Movies, A cat  monkey and donkey learn the consequences of cheating through stories from the Indian regions of Rajasthan  West Bengal and Maharashtra. 
80182481,Movie,Krish Trish and Baltiboy: Part II,2010,TV-Y7,58 min,Children & Family Movies, Animal minstrels narrate stories about a monkey's friendship with a crocodile  two monkeys' foolishness and a villager's encounter with a demon. 
80182621,Movie,Krish Trish and Baltiboy: The Greatest Trick,2013,TV-Y7,60 min,Children & Family Movies, The consequences of trickery are explored in stories involving an inconsiderate husband  two greedy courtiers  and a kind man who loses everything. 
80057969,Movie,Love,2015,NR,135 min,Cult Movies, A man in an unsatisfying marriage recalls the details of an intense past relationship with an ex-girlfriend when he gets word that she may be missing. 
80060297,Movie,Manhattan Romance,2014,TV-14,98 min,Comedies, A filmmaker working on a documentary about love in modern Manhattan becomes personally entangled in the romantic lives of his subjects. 
80046728,Movie,Moonwalkers,2015,R,96 min,Action & Adventure, A brain-addled war vet  a failing band manager and a Stanley Kubrick impersonator help the CIA construct an epic scam by faking the 1969 moon landing. 
80046727,Movie,Rolling Papers,2015,TV-MA,79 min,Documentaries, As the newspaper industry takes a hit  The Denver Post breaks new ground with a section dedicated to cannabis culture. 
70304988,Movie,Stonehearst Asylum,2014,PG-13,113 min,Horror Movies, In 1899  a young doctor arrives at an asylum for an apprenticeship and becomes suspicious of his mentor's methods while falling for a female patient. 
80057700,Movie,The Runner,2015,R,90 min,Dramas, A New Orleans politician finds his idealistic plans for rebuilding after a toxic oil spill unraveling thanks to a sex scandal. 
80045922,Movie,6 Years,2015,NR,80 min,Dramas, As a volatile young couple who have been together for six years approach college graduation  unexpected career opportunities threaten their future. 
80203094,Movie,City of Joy,2018,TV-MA,77 min,Documentaries, Women who've been sexually brutalized in war-torn Congo begin to heal at City of Joy  a center that helps them regain a sense of self and empowerment. 
70241607,Movie,Laddaland,2011,TV-MA,112 min,Horror Movies, When a family moves into an upscale housing development  they encounter a series of paranormal events that drive them to the edge of insanity. 
80988892,Movie,Next Gen,2018,TV-PG,106 min,Children & Family Movies, When lonely Mai forms an unlikely bond with a top-secret robot  they embark on an intense  action-packed adventure to foil the plot of a vicious villain. 
80239639,Movie,Sierra Burgess Is A Loser,2018,PG-13,106 min,Comedies, A wrong-number text sparks a virtual romance between a smart but unpopular teen and a sweet jock who thinks he's talking to a gorgeous cheerleader. 
80159586,Movie,The Most Assassinated Woman in the World,2018,TV-MA,102 min,Dramas, In 1930s Paris  an actress famous for her gory death scenes at the Grand Guignol Theater contends with a mysterious stalker and ghosts from her past. 
80152447,Movie,Cézanne et moi,2016,R,114 min,Dramas, This historical drama explores the long and often volatile friendship of painter Paul Cézanne and writer Émile Zola  who first met as schoolboys. 
81154455,Movie,Article 15,2019,TV-MA,125 min,Dramas, The grim realities of caste discrimination come to light as an entitled but upright city cop ventures into India’s heartland to investigate a murder. 
81052275,Movie,Ee Nagaraniki Emaindi,2018,TV-14,133 min,Comedies, In Goa and in desperate need of cash  four childhood friends get another shot at making their long-abandoned dreams of becoming filmmakers come true. 
81132437,Movie,Kill Me If You Dare,2019,TV-14,100 min,Comedies, Bogged down with money problems  a couple grows cautious of each other but hit the lottery and decide to stay together – till death do they part. 
80058026,Movie,Hell and Back,2015,R,86 min,Action & Adventure, When best friends break a blood oath  one of them is cast away to hell  and the other two must save him from the misfits of the underworld. 
70303496,Movie,PK,2014,TV-14,146 min,Comedies, Aamir Khan teams with director Rajkumar Hirani to play a social crusader in a political satire on the state of corruption in India. 
80162141,Movie,Hard Tide,2015,TV-MA,79 min,Dramas, A drug dealer who's been emulating his father's successful criminal career is forced to go on the run with a young girl in this fact-based thriller. 
80095641,Movie,Elstree 1976,2015,TV-PG,102 min,Documentaries," Then and now footage of bit players who appeared in ""Star Wars"" tells the story of how the film and its legions of fans changed their lives forever. "
81176188,Movie,American Factory: A Conversation with the Obamas,2019,TV-G,10 min,Documentaries, Barack and Michelle Obama talk with directors Steven Bognar and Julia Reichert about the documentary and the importance of storytelling. 
80159880,Movie,ATM,2012,TV-14,122 min,Comedies, When a broken ATM dishes out a fortune  a couple who works at the bank vies to see who can recover the most cash – and the loser must find a new job. 
81016044,Movie,Bangkok Traffic (Love) Story,2009,TV-14,126 min,Comedies, After an encounter with an engineer working the night shift for the city train  a 30-year-old woman struggles against all odds to pursue true love. 
80158838,Movie,I Fine... Thank You... Love You,2014,TV-14,116 min,Comedies, Desperate to go to the U.S. to win back his girlfriend  Yim hires a tutor to teach him English. But things don't go according to plan. 
81016045,Movie,One Day,2016,TV-PG,135 min,Dramas, When his colleague (and crush) temporarily loses her memory  an overlooked geek seizes the chance to make an impression before she remembers again. 
70142798,Movie,Phobia 2,2009,TV-MA,125 min,Horror Movies, From disfiguring punishments to festering souls  Thai horror masters present five supernatural tales of karma in this sequel to the 4bia anthology. 
70062814,Movie,Shutter,2004,TV-MA,96 min,Horror Movies, After killing a young girl in a hit-and-run accident  a couple is haunted by more than just the memory of their deadly choice. 
80158839,Movie,Suckseed,2011,TV-MA,130 min,Comedies, When his boyhood crush Ern returns  Ped forms a band with his friend to impress her. Romantic rivalries bloom after the talented Ern joins the group. 
80147760,Movie,Carrie Pilby,2016,TV-14,98 min,Comedies, A socially awkward 19-year-old genius makes big plans to step out of her shell and make a friend  get a job and – maybe – even go on a date. 
80177405,Movie,Marc Maron: Too Real,2017,TV-MA,70 min,Stand-Up Comedy, Battle-scarred stand-up comedian Marc Maron unleashes a storm of ideas about meditation  mortality  documentary films and our weird modern world. 
81160036,Movie,Saawan,2016,TV-14,128 min,Dramas, Outcast from society and left to die in the wilderness  a young boy with polio embarks on a journey to connect with his mother. Based on a true story. 
81173255,Movie,The Heretics,2017,TV-MA,88 min,Horror Movies, A withdrawn young woman hunted by a malicious cult is abducted by a brooding stranger and undergoes a bizarre transformation. 
81078908,Movie,The World We Make,2019,PG,108 min,Dramas, A teenage equestrian and a local football player for each other  but simmering racism in their small town puts their relationship to the test. 
81155784,Movie,Watchman,2019,TV-14,93 min,Comedies, Rushing to pay off a loan shark  a young man breaks into a bungalow to steal the cash  unprepared for the dog standing guard – or the trouble inside. 
80201906,Movie,Black Panther,2018,PG-13,135 min,Action & Adventure, T'Challa  the superpowered new leader of the hidden  highly advanced African nation of Wakanda  strives to protect his home from enemies old and new. 
80052612,Movie,Man Up,2015,R,88 min,Comedies, A single woman seizes an opportunity when  while standing under a train station clock  she meets a stranger who mistakes her for his blind date. 
81054495,Movie,Mo Gilligan: Momentum,2019,TV-MA,64 min,Stand-Up Comedy, Comedian Mo Gilligan blends smooth moves and sharp humor as he riffs on humble beginnings  family dynamics and the complex art of dancing in the club. 
70212504,Movie,Big Miracle,2012,PG,107 min,Children & Family Movies, After a reporter writes about whales trapped in the Arctic Circle  the U.S. and U.S.S.R. team up to rescue them in this tale inspired by true events. 
80187061,Movie,The Mayor,2017,TV-MA,130 min,Dramas, With the presidency in mind  the incumbent mayor of Seoul runs for an unprecedented third term – and will stop at nothing to keep his secrets hidden. 
80081155,Movie,Amanda Knox,2016,TV-MA,92 min,Documentaries, She was twice convicted and acquitted of murder. Amanda Knox and the people closest to her case speak out in this illuminating documentary. 
80198585,Movie,The Debt Collector,2018,TV-MA,96 min,Action & Adventure, A broke martial arts instructor takes a side gig with a mobster  who pairs him with a veteran thug for a weekend of fisticuffs-fueled debt collection. 
70233894,Movie,Act of Vengeance,2010,NR,112 min,Action & Adventure," Two Turkish agents are sent to New York City on a mission to capture a notorious terrorist known only as ""Dejjal"" (Arabic for Antichrist). "
81011955,Movie,Paradise Lost,2018,TV-MA,111 min,Dramas, A cop moonlights as the bodyguard for a young drag queen at a nightclub  and grows closer to the family of misfit singers that perform there. 
80128722,Movie,Gerald's Game,2017,TV-MA,103 min,Horror Movies, When her husband's sex game goes wrong  Jessie – handcuffed to a bed in a remote lake house – faces warped visions  dark secrets and a dire choice. 
80182115,Movie,Long Shot,2017,TV-14,40 min,Documentaries, When Juan Catalan is arrested for a murder he didn't commit  he builds his case for innocence around raw footage from a popular TV show. A documentary. 
80104068,Movie,Our Souls at Night,2017,TV-14,103 min,Dramas, After widowed neighbors Addie and Louis begin sleeping in bed together platonically to alleviate their loneliness  a real romance begins to blossom. 
80119349,Movie,Out of Thin Air,2017,TV-14,85 min,Documentaries, Picking up 40 years after six were convicted for two strange murders in Iceland  this chilling documentary proves confessions can’t always be trusted. 
80019931,Movie,Monster High: Boo York| Boo York,2015,TV-Y7,72 min,Children & Family Movies, Cleo is invited to a gala in the big city celebrating a magical comet and brings her best friends along. But the sinister Nefera has other plans. 
81053893,Movie,Cultivating the Seas: History and Future of the Full-Cycle Cultured Kindai Tuna,2019,TV-G,45 min,Documentaries, An in-depth look at the full-cycle breeding program for bluefin Kindai tuna pioneered by Kinki University’s Aqua Culture Research Institute. 
80200087,Movie,Domino,2019,R,89 min,International Movies, A Copenhagen police officer hunts for the man who attacked his partner  only to stumble into a high-stakes game of espionage. 
81053892,Movie,TUNA GIRL,2019,TV-PG,90 min,Dramas, A clumsy but cheerful fisheries student struggles to find her place at a research institute renowned for its tuna cultivation. The work isn't easy. 
81002850,Movie,5CM,2012,TV-14,126 min,Dramas, Five friends embark on a mission to climb the highest peak in Java  overcoming obstacles on the way and discovering the true meaning of friendship. 
81004470,Movie,Animal World,2018,TV-MA,130 min,Action & Adventure, An unlucky  debt-ridden teen resorts to his math skills when he's forced into a deadly tournament of rock-paper-scissors run by a diabolical host. 
80157072,Movie,Hold the Dark,2018,TV-MA,126 min,Action & Adventure, In the grim Alaskan winter  a naturalist hunts for wolves blamed for killing a local boy  but he soon finds himself swept into a chilling mystery. 
81001809,Movie,Lessons from a School Shooting: Notes from Dunblane,2018,TV-PG,24 min,Documentaries, Two priests – one from Dunblane  Scotland  the other from Newtown  Connecticut – bond over school tragedies that occurred 16 years apart. 
81002864,Movie,Single,2015,TV-PG,127 min,Comedies, Unemployed and immature  a somewhat pathetic bachelor sets his sights on finding a date for the wedding of his younger  more successful brother. 
81016750,Movie,The 3rd Eye,2018,TV-MA,108 min,Horror Movies, When her little sister claims she sees the dead  Alia consults a psychic  who opens her own eyes to the vengeful ghosts haunting their childhood home. 
81002866,Movie,The Sinking Of Van Der Wijck,2013,TV-14,163 min,Dramas, When a young man leaves home to fulfill the wishes of his late father  he meets and falls in love with a woman from a very different background. 
80992039,Movie,Two Catalonias,2018,TV-MA,117 min,Documentaries, Lawmakers and activists with conflicting ideologies speak about the complexities of Catalonia's politics and the fight for its independence from Spain. 
80126507,Movie,Bobby Sands: 66 Days,2016,TV-14,106 min,Documentaries, In 1981  an imprisoned Irish Republican Army soldier went on a hunger strike that galvanized his movement and made him a controversial global icon. 
80231903,Movie,In the Shadow of the Moon,2019,TV-MA,116 min,Dramas, A Philadelphia detective slowly unravels as he nurses a lifelong obsession with an enigmatic female serial killer whose crimes defy explanation. 
81171121,Movie,Sturgill Simpson Presents Sound & Fury,2019,TV-MA,42 min,Anime Features, In this anime visual album  a mysterious driver heads deep into a postapocalyptic hellscape toward a ferocious showdown with two monstrous opponents. 
81012295,Movie,Weeds on Fire,2016,TV-14,95 min,Dramas, In 1980s Hong Kong  a school principal forms a baseball team with an eclectic crew of local students who soon fight their way to the top of the league. 
80060037,Movie,Much Loved,2015,TV-MA,104 min,Dramas, Four friends who make their living as prostitutes in Morocco deal with both the dangers and stigma that come with their profession. 
60003155,Movie,Joseph: King of Dreams,2000,TV-PG,75 min,Children & Family Movies, With his gift of dream interpretation and his brilliantly colored coat  Joseph inspires jealousy in his brothers in this animated Bible story. 
81177238,Movie,Malaal,2019,TV-14,133 min,International Movies, Class divides become thorns in the budding romance between the crony of a nativist Mumbai politician and the new  North Indian resident of his chawl. 
70270775,Movie,The Grandmaster,2013,PG-13,108 min,Action & Adventure, As the Japanese invasion looms  Chinese kung fu master Ip Man's world changes when rival master Gong Er and her father arrive in his village. 
80215923,Movie,The Hurricane Heist,2018,PG-13,103 min,Action & Adventure, A deadly hurricane with mile-high waves provides the perfect cover for stealing $600 million from a U.S. Treasury outpost in Mississippi. 
80151483,Movie,Def Comedy Jam 25,2017,TV-MA,82 min,Stand-Up Comedy," In this special live event  giants of stand-up come together to commemorate the 25th anniversary of Russell Simmons's groundbreaking ""Def Comedy Jam."" "
80173625,Movie,Restless Creature: Wendy Whelan,2016,TV-MA,94 min,Documentaries, After 30 years with the New York City Ballet  celebrated dancer Wendy Whelan redefines herself as an artist in a new stage of life. 
80005444,Movie,Print the Legend,2014,TV-14,100 min,Documentaries, This award-winning  original documentary chronicles the race for market leadership in 3D printing  the next wave of technological evolution. 
80244682,Movie,Birders,2019,TV-G,38 min,Documentaries, Bird watchers on both sides of the U.S.-Mexico border share their enthusiasm for protecting and preserving some of the world's most beautiful species. 
81075519,Movie,Furie,2019,TV-MA,97 min,Action & Adventure, When traffickers kidnap her daughter from their village  vengeful Hai Phuong returns to Saigon – and her outlaw roots – to take down the abductors. 
80166318,Movie,Leap!,2016,PG,89 min,Children & Family Movies, Félicie and Victor  two young friends in 1880s France  escape from an orphanage to pursue their dreams in Paris  the glittering City of Lights. 
81186758,Movie,Oh! Baby (Malayalam),2019,TV-14,146 min,Comedies, A surly septuagenarian gets another chance at her 20s after having her photo snapped at a studio that magically takes 50 years off her life. 
81186757,Movie,Oh! Baby (Tamil),2019,TV-14,146 min,Comedies, A surly septuagenarian gets another chance at her 20s after having her photo snapped at a studio that magically takes 50 years off her life. 
80108976,Movie,USS Indianapolis: Men of Courage,2016,R,130 min,Action & Adventure, After becoming stranded in the Philippine Sea during World War II  a tenacious Navy crew faces a dire lack of supplies and a string of shark attacks. 
80208155,Movie,A Wrinkle in Time,2018,PG,110 min,Children & Family Movies, Years after their father disappears  Meg and her younger brother Charles Wallace cross galaxies on a quest to save him from the heart of darkness. 
80198423,Movie,Teach Us All,2017,TV-14,81 min,Documentaries, It's been decades since Brown v. Board of Education  yet American schools remain largely segregated. Some leaders are working to change that. 
80162144,Movie,White Island,2016,TV-MA,91 min,Comedies, Returning to Ibiza after several years walking the straight and narrow in London  Connor falls back in with a criminal crowd. It's like he never left. 
81053953,Movie,Inside Man: Most Wanted,2019,R,106 min,Action & Adventure, A hotshot NYPD negotiator butts heads with the FBI and meets his match in a meticulous criminal mastermind as she attempts to rob the Federal Reserve. 
81074113,Movie,Jeff Dunham: Beside Himself,2019,TV-MA,58 min,Stand-Up Comedy, Jeff Dunham takes the stage in Dallas with his old pals Peanut  Walter  José Jalapeño  Bubba J and Achmed to poke fun at himself and American culture. 
80992496,Movie,China Salesman,2017,TV-MA,111 min,Action & Adventure, A Chinese engineer travels to a war-torn African country to rebuild its telecommunications but instead finds massive corruption and explosive danger. 
70304191,Movie,Swearnet: The Movie,2014,NR,112 min,Comedies, After losing a TV network deal  the Trailer Park Boys launch their own Internet series  but they soon confront personal and creative differences. 
80103311,Movie,The Bar,2017,TV-MA,102 min,Comedies, Strangers holed up in a Madrid bar after witnessing a murder begin to turn on each other as panic sets in and the body count rises. 
81176200,Movie,Manmadhudu 2,2019,TV-MA,152 min,Comedies, Under pressure to marry  a perennial bachelor hires a much younger woman to act as his fiancée  but her bond with his family throws his plan for a loop. 
80208906,Movie,Under the Eiffel Tower,2018,TV-MA,87 min,Comedies, An American man in the midst of a mid-life crisis travels to the French countryside to find a new lease on life. 
80097321,Movie,Audrie & Daisy,2016,TV-14,99 min,Documentaries, In this wrenching documentary  two teens are sexually assaulted by boys they considered friends  humiliated online and harassed by their communities. 
80106966,Movie,Iliza Shlesinger: Confirmed Kills,2016,TV-MA,78 min,Stand-Up Comedy," The stand-up sensation tackles TV's ""Shark Tank "" what it means to be a woman and how to deal with the lawless party goblin that lives in us all. "
81080769,Movie,Do Paise Ki Dhoop Chaar Aane Ki Baarish,2009,TV-14,121 min,Dramas, When a sex worker hires a gay songwriter to care for her disabled son  the ensuing bonds that form offer a complex portrayal of love and family. 
70267838,Movie,20 Feet From Stardom,2013,PG-13,91 min,Documentaries, Winner of the 2014 Academy Award for Best Documentary Feature  this film takes a look at the world of backup vocalists and the legends they support. 
80211380,Movie,In Darkness,2018,TV-MA,101 min,Independent Movies, A blind pianist fears for her life after the suspicious death of her neighbor  the daughter of a businessman accused of war crimes. 
80196586,Movie,Gaga: Five Foot Two,2017,TV-MA,101 min,Documentaries, Follow pop provocateur Lady Gaga as she releases a new album  preps for her Super Bowl halftime show  and confronts physical and emotional struggles. 
80099204,Movie,The Bad Batch,2016,R,119 min,Dramas, Banished to a wasteland of undesirables  a young woman struggles to find her feet among a drug-soaked desert society and an enclave of cannibals. 
80059432,Movie,SMOSH: The Movie,2015,PG-13,83 min,Comedies, To keep his teen crush from spotting him in an embarrassing YouTube video  Anthony and his friend Ian must enter the virtual world and alter the clip. 
81172721,Movie,King of Boys,2018,TV-MA,182 min,Dramas, When a powerful businesswoman’s political ambitions are threatened by her underworld connections  the ensuing power struggle could cost her everything. 
81172727,Movie,Merry Men: The Real Yoruba Demons,2018,TV-MA,106 min,Comedies, Four of the richest bachelors in Abuja  Nigeria enjoy a life of fast cars  palatial homes and female attention while concealing their true activities. 
70153543,Movie,Sarah's Key,2010,PG-13,102 min,Dramas, Paris  1942: To protect her brother from the police arresting Jewish families  a young girl hides him away  promising to come back for him. 
81172728,Movie,The Wedding Party 2: Destination Dubai,2017,TV-14,98 min,Comedies," In this sequel to the 2016 hit ""The Wedding Party "" a couple's date night ends in an accidental proposal  sparking a series of chaotic family events. "
80102952,Movie,Quincy,2018,TV-MA,124 min,Documentaries, This documentary profiles music and culture icon Quincy Jones  offering unprecedented access to his private life and stories from his unparalleled career. 
80214464,Movie,Rafinha Bastos: Ultimatum,2018,TV-MA,63 min,Stand-Up Comedy, An off-color joke nearly cost him everything. Brazilian comic Rafinha Bastos talks about that and much more  from his divorce to finding love again. 
80243600,Movie,Between Two Ferns: The Movie,2019,TV-MA,83 min,Comedies, Armed with awkward questions and zero self-awareness  Zach Galifianakis hits the road to find famous interview subjects for his no-budget talk show. 
81122669,Movie,Daddy Issues,2019,TV-MA,82 min,Dramas, Maya finally hooks up with her online dream girl  only to discover she’s deeply involved with an older sugar daddy – a man Maya knows all too well. 
81132439,Movie,Travel Mates 2,2018,TV-14,111 min,Comedies, When struggling singer Onur decides to return to his old job  incurable klutz Şeref organizes a surprise tour full of pitfalls and mishaps. 
81035117,Movie,True: Tricky Treat Day,2019,TV-Y,24 min,Children & Family Movies, It's up to True and her friends to save the day when a hungry Yeti sneaks a forbidden treat and fills the kingdom with Howling Greenies. 
80150502,Movie,Mad World,2016,TV-MA,102 min,Dramas, A stockbroker struggling with bipolar disorder goes to live with his estranged father in a cramped flat  where old resentments bubble to the surface. 
80997866,Movie,The Bund,1983,TV-14,103 min,Action & Adventure, After losing everything  a young man rebuilds his life and finds love in 1920s Shanghai – all while rising to power in an organized crime syndicate. 
80119815,Movie,The First Line,2014,TV-14,87 min,Dramas, Two determined Athenian attorneys spearhead a lawsuit against the British Museum for the return of the Parthenon Marbles to Greece. 
80993149,Movie,Maynard,2017,TV-PG,100 min,Documentaries, Friends  family and political titans recall the impact of Atlanta's Maynard Jackson  the first African-American mayor of a major Southern city. 
80203776,Movie,Bitcoin Heist,2016,TV-14,116 min,Action & Adventure," A unconventional  efficient Interpol special agent goes rogue and assembles a team of thieves to catch a shadowy hacker called ""The Ghost."" "
80143797,Movie,I Am Not Madame Bovary,2016,TV-14,139 min,Comedies, To qualify for an apartment reserved for singles  a married couple stages a divorce. But when her husband unexpectedly remarries  Li seeks justice. 
80161931,Movie,Vincent N Roxxy,2016,R,101 min,Dramas, In rural Louisiana  a terse loner forges a redemptive bond with a woman he saved from a killer  but a violent past soon catches up with both of them. 
80017275,Movie,Miss Julie,2014,PG-13,130 min,Dramas, On a summer night in 1890 Ireland  the unsettled daughter of aristocrats coaxes her father's valet to seduce her  though he's engaged to their cook. 
81107545,Movie,Kabir Singh,2019,TV-MA,171 min,Dramas, An exalted but short-fused surgeon plunges into a spiral of drugs  alcohol and rage after his intense relationship with his girlfriend turbulently ends. 
70118953,Movie,Océans,2009,G,84 min,Documentaries, This documentary examines the vital role water plays in human existence and the cause-and-effect interplay between oceans and the environment. 
80190449,Movie,The Endless,2017,TV-MA,112 min,Independent Movies, As kids  they escaped a UFO death cult. Now  two adult brothers seek answers after an old videotape surfaces and brings them back to where they began. 
80163156,Movie,Jerry Before Seinfeld,2017,TV-14,62 min,Stand-Up Comedy, Jerry Seinfeld returns to the club that gave him his start in the 1970s  mixing iconic jokes with stories from his childhood and early days in comedy. 
80131281,Movie,Karol Modzelewski| Łukasz „Lotek” Lodkowski No Offense,2016,TV-MA,65 min,Stand-Up Comedy," Charismatic comedy pals Karol Modzelewski and Łukasz ""Lotek"" Lodkowski bring their mischievous brand of humor to Warsaw's Klub Hybrydy. "
80131374,Movie,Katarzyna Piasecka| Rafał Pacześ Seriously Funny,2016,TV-MA,65 min,Stand-Up Comedy, Polish comedians Rafał Pacześ and Katarzyna Piasecka hit the stage at Warsaw's Klub Hybrydy for a night of funny anecdotes and sly jokes. 
80131436,Movie,Mariusz Kałamaga| Karol Kopiec| Wiolka Walaszczyk Hilarious Trio,2016,TV-MA,69 min,Stand-Up Comedy, Comedians Mariusz Kałamaga  Karol Kopiec and Wiolka Walaszczyk deliver an eclectic and energetic stand-up show at Klub Hybrydy in Warsaw. 
80131376,Movie,Rafał Banaś| Michał Leja Laugh out Loud,2016,TV-MA,64 min,Stand-Up Comedy, Young Polish comedians Rafał Banaś and Michał Leja present a high-energy stand-up show at Warsaw's Klub Hybrydy. 
80131435,Movie,The Best of Rafał Rutkowski Olka Szczęśniak,2016,TV-MA,63 min,Stand-Up Comedy," ""Recipe for Life"" star Rafał Rutkowski and Comedy Lab's Olka Szczęśniak serve up humorous impressions and wry wit at Warsaw's Klub Hybrydy. "
80131375,Movie,Tomasz Jachimek| Jacek Stramik Laugh at Live,2016,TV-MA,63 min,Stand-Up Comedy, Writer  actor and satirist Tomasz Jachimek teams up with comedian Jacek Stramik for a night of subversive stand-up at Klub Hybrydy in Warsaw. 
80149143,Movie,Come and Find Me,2016,R,112 min,Dramas, When his photographer girlfriend vanishes  an L.A. graphic designer starts his own investigation and uncovers a web of deceit  crime and corruption. 
80987075,Movie,Class Rank,2018,TV-14,103 min,Comedies, When her class rank threatens her college plans  an ambitious teen convinces a nerdy peer to run for the school board to abolish the ranking system. 
80192815,Movie,Barbie Dolphin Magic,2017,TV-G,64 min,Children & Family Movies, While visiting Ken and exploring a coral reef  Barbie and her sisters make an amazing discovery and meet a mysterious new friend. 
80066798,Movie,Keith Richards: Under the Influence,2015,TV-PG,82 min,Documentaries, In a documentary with unparalleled access  discover the people and sounds that inspired rock 'n' roll legend Keith Richards from childhood to today. 
81147293,Movie,A Haunting at Silver Falls: The Return,2019,TV-14,80 min,Horror Movies, When the ghost of her serial killer aunt seemingly resurfaces  Jordan must return to Silver Falls in hopes of finally putting an end to the torment. 
80991316,Movie,Avengement,2019,TV-MA,88 min,Action & Adventure, Betrayed by his loan shark brother  a hardened convict escapes from prison while on furlough to exact revenge against the people who made him a killer. 
80190588,Movie,Clive Davis: The Soundtrack of Our Lives,2017,TV-14,124 min,Documentaries, This music-driven documentary charts Clive Davis' 50-year career as one of the world's most influential record moguls. 
70124316,Movie,Five Elements Ninjas,1982,R,104 min,Action & Adventure, When five ninjas whose fighting styles are based on natural elements unleash their fury on a rival school  a lone survivor vows deadly revenge. 
70229037,Movie,Sebastian Maniscalco: What's Wrong with People?,2012,TV-14,76 min,Stand-Up Comedy, With his uproarious tirade on modern behavior and decorum  the popular comic tackles the question we've all asked in this hilarious standup special. 
80037280,Movie,The Witch,2015,R,92 min,Horror Movies, Believing that a witch has cursed their family  pilgrims homesteading on the edge of a primeval New England forest become increasingly paranoid. 
80058248,Movie,I Am Wrath,2016,R,91 min,Action & Adventure, Hell-bent on avenging his wife's murder  Stanley Hill summons an old partner's help in exposing a cover-up by crooked cops and slimy politicians. 
70307661,Movie,As Above| So Below,2014,R,93 min,Horror Movies, A beautiful tomb raider and her crew hunt for treasure in the catacombs of Paris and find themselves in a hellish underworld. 
70117312,Movie,Scott Pilgrim vs. the World,2010,PG-13,112 min,Action & Adventure, Dreamy delivery girl Ramona captures Scott Pilgrim's heart  but he must vanquish all seven of her evil exes in martial arts battles to win her love. 
80092885,Movie,ARQ,2016,TV-MA,89 min,International Movies, Trapped in a lab and stuck in a time loop  a disoriented couple fends off masked raiders while harboring a new energy source that could save humanity. 
80108371,Movie,Cedric the Entertainer: Live from the Ville,2016,TV-MA,60 min,Stand-Up Comedy," Donning his signature suit and fedora  the dapper comic offers a unique spin on getting old  the presidential election and ""Honky Tonk Badonkadonk."" "
70129452,Movie,Louis C.K.: Hilarious,2010,,84 min,Movies, Emmy-winning comedy writer Louis C.K. brings his caustic wit to Milwaukee  offering up his unique and uncensored take on sex  parenting and more. 
80045805,Movie,Raiders!: The Story of the Greatest Fan Film Ever Made,2015,NR,93 min,Documentaries," Three childhood friends attempt to finish the pet project they've worked on for over 30 years: re-creating ""Raiders of the Lost Ark"" shot for shot. "
80101827,Movie,The White Helmets,2016,TV-14,41 min,Documentaries, As daily airstrikes pound civilian targets in Syria  a group of indomitable first responders risk their lives to rescue victims from the rubble. 
81030342,Movie,Los Tigres del Norte at Folsom Prison,2019,TV-PG,64 min,Documentaries, The beloved norteño band Los Tigres del Norte performs for the inmates of Folsom Prison on the 50th anniversary of Johnny Cash's iconic concert. 
